trait,condition,pole,n_essays,mean_rate_per_1k,std_rate_per_1k
cEXT,human_high,high,119,4.71145621168445,4.037195087803729
cEXT,human_low,high,129,5.1531902949687245,4.792124062880996
cEXT,human_high,low,119,0.27836470047272827,0.8429608627820743
cEXT,human_low,low,129,0.4955882757718905,1.0223096041807265
cNEU,human_high,high,124,1.8954909176284038,2.6818020723678746
cNEU,human_low,high,124,1.602064559695726,2.220463075384213
cNEU,human_high,low,124,1.9133223627355758,1.950869838883683
cNEU,human_low,low,124,1.6117411176122631,1.983132538636201
cAGR,human_high,high,131,1.2486232007168931,1.8748465056854187
cAGR,human_low,high,117,1.4172523517984972,2.089417130461092
cAGR,human_high,low,131,0.39745247540936124,1.3254855819516564
cAGR,human_low,low,117,0.32275517562083295,1.9229774043301364
cCON,human_high,high,125,0.505021143553553,1.3659859172791398
cCON,human_low,high,123,0.29266955582557336,0.7552719569000067
cCON,human_high,low,125,0.024235752780644423,0.1901080024715022
cCON,human_low,low,123,0.15335409735528716,0.6227854586529485
cOPN,human_high,high,128,0.35572248320744215,1.009641592139559
cOPN,human_low,high,120,0.23223252763875293,0.6995746271923837
cOPN,human_high,low,128,0.13589358993387396,0.5202233468914079
cOPN,human_low,low,120,0.0809394435130699,0.3794242915210241
