trait,pole,comparison,n_a,n_b,mann_whitney_p,cliffs_delta
cEXT,high,human_high_vs_human_low,119,129,0.8298339693610173,-0.015829587649013092
cEXT,low,human_high_vs_human_low,119,129,0.02235731597865132,-0.11588821575141685
cNEU,high,human_high_vs_human_low,124,124,0.46387406795350083,0.051053590010405825
cNEU,low,human_high_vs_human_low,124,124,0.12139258536634409,0.11030176899063475
cAGR,high,human_high_vs_human_low,131,117,0.28761509624756476,-0.0720297514190644
cAGR,low,human_high_vs_human_low,131,117,0.4367033933858355,0.03294839172701768
cCON,high,human_high_vs_human_low,125,123,0.18840882900503986,0.0672520325203252
cCON,low,human_high_vs_human_low,125,123,0.02825781985023493,-0.0575609756097561
cOPN,high,human_high_vs_human_low,128,120,0.3009607092140294,0.04609375
cOPN,low,human_high_vs_human_low,128,120,0.36671263382320485,0.0283203125
