trait,condition,pole,n_essays,mean_rate_per_1k,std_rate_per_1k
cEXT,humans,high,248,4.94122918242506,4.4513803251621065
cEXT,humans,low,248,0.3913559956888248,0.9467692153401764
cEXT,high,high,1,11.363636363636363,0.0
cEXT,high,low,1,0.0,0.0
cEXT,low,high,1,8.89453621346887,0.0
cEXT,low,low,1,10.165184243964422,0.0
cNEU,humans,high,248,1.748777738662065,2.4663300811394007
cNEU,humans,low,248,1.7625317401739193,1.9728384903190594
cNEU,high,high,1,9.950248756218905,0.0
cNEU,high,low,1,6.218905472636816,0.0
cNEU,low,high,1,3.9735099337748343,0.0
cNEU,low,low,1,5.298013245033113,0.0
cAGR,humans,high,248,1.3281780824771663,1.980765936319465
cAGR,humans,low,248,0.36221221704138623,1.6352318559202468
cAGR,high,high,1,4.987531172069826,0.0
cAGR,high,low,1,0.0,0.0
cAGR,low,high,1,1.3071895424836601,0.0
cAGR,low,low,1,0.0,0.0
cCON,humans,high,248,0.3997016060916922,1.1111583642733247
cCON,humans,low,248,0.0882742865817777,0.4634121029826246
cCON,high,high,1,5.134788189987163,0.0
cCON,high,low,1,0.0,0.0
cCON,low,high,1,0.0,0.0
cCON,low,low,1,1.1587485515643106,0.0
cOPN,humans,high,248,0.29596927890001196,0.8756407962751045
cOPN,humans,low,248,0.10930287392380748,0.45836101798215134
cOPN,high,high,1,7.317073170731708,0.0
cOPN,high,low,1,0.0,0.0
cOPN,low,high,1,1.256281407035176,0.0
cOPN,low,low,1,13.819095477386934,0.0
