trait,pole,comparison,n_a,n_b,mann_whitney_p,cliffs_delta
cEXT,high,humans_vs_high,248,127,8.796905605750065e-53,-0.9639319278638557
cEXT,high,humans_vs_low,248,127,7.821143939455757e-43,-0.8648399796799594
cEXT,high,high_vs_low,127,127,1.4899425723350475e-21,0.6922933845867691
cEXT,low,humans_vs_high,248,127,2.8363036020428116e-34,-0.6855791211582423
cEXT,low,humans_vs_low,248,127,1.0946685115902e-64,-0.986760223520447
cEXT,low,high_vs_low,127,127,1.883206293985628e-31,-0.846735693471387
cNEU,high,humans_vs_high,248,127,4.492777101066565e-34,-0.7556832613665228
cNEU,high,humans_vs_low,248,127,4.114513925918946e-09,-0.36236347472694946
cNEU,high,high_vs_low,127,127,4.6963146387422445e-17,0.6092752185504371
cNEU,low,humans_vs_high,248,127,2.140691408820401e-46,-0.8941135382270764
cNEU,low,humans_vs_low,248,127,2.806498508284724e-18,-0.544481838963678
cNEU,low,high_vs_low,127,127,2.5140377412013148e-17,0.614731229462459
cAGR,high,humans_vs_high,248,127,1.120420980047566e-28,-0.6835788671577343
cAGR,high,humans_vs_low,248,127,0.49342628748560335,-0.04051308102616205
cAGR,high,high_vs_low,127,127,5.105680565703674e-21,0.6790873581747163
cAGR,low,humans_vs_high,248,127,0.3112619527249363,0.03536957073914148
cAGR,low,humans_vs_low,248,127,2.3985353183619085e-35,-0.667767335534671
cAGR,low,high_vs_low,127,127,1.495630477950246e-29,-0.7461714923429846
cCON,high,humans_vs_high,248,127,5.953164364537245e-52,-0.8750952501905004
cCON,high,humans_vs_low,248,127,6.02117723272436e-35,-0.6974218948437897
cCON,high,high_vs_low,127,127,1.2714521703864249e-13,0.5376650753301506
cCON,low,humans_vs_high,248,127,5.363168753636197e-30,-0.5215265430530861
cCON,low,humans_vs_low,248,127,1.0078925551209866e-52,-0.7894335788671577
cCON,low,high_vs_low,127,127,7.523097256328285e-06,-0.3206026412052824
cOPN,high,humans_vs_high,248,127,2.676645549499598e-37,-0.6960883921767843
cOPN,high,humans_vs_low,248,127,7.217791722741894e-07,-0.22818770637541275
cOPN,high,high_vs_low,127,127,7.081827482734277e-14,0.5256370512741025
cOPN,low,humans_vs_high,248,127,8.846261419819518e-11,-0.25746126492252985
cOPN,low,humans_vs_low,248,127,1.5434088340130862e-70,-0.9745999491998985
cOPN,low,high_vs_low,127,127,1.4957795380536713e-40,-0.9482918965837932
