trait,pole,comparison,n_a,n_b,mann_whitney_p,cliffs_delta
openness,high,humans_vs_high,290,325,1.2773460576303359e-46,-0.5745039787798408
openness,high,humans_vs_low,290,325,0.001023482850000645,-0.07772944297082228
openness,high,high_vs_low,325,325,7.312523583284869e-40,0.5238721893491124
openness,low,humans_vs_high,290,325,0.0035431395035014075,-0.04475331564986738
openness,low,humans_vs_low,290,325,1.7658806116113873e-13,-0.18958090185676393
openness,low,high_vs_low,325,325,6.731627627207794e-08,-0.14335621301775148
conscientiousness,high,humans_vs_high,290,325,2.596510452034724e-42,-0.5447320954907162
conscientiousness,high,humans_vs_low,290,325,5.782606200913114e-44,-0.5609442970822281
conscientiousness,high,high_vs_low,325,325,0.31029023952215906,0.044705325443786983
conscientiousness,low,humans_vs_high,290,325,0.22068481266201612,-0.00890185676392573
conscientiousness,low,humans_vs_low,290,325,1.3505136974153497e-37,-0.4473315649867374
conscientiousness,low,high_vs_low,325,325,8.579314805825492e-39,-0.4358248520710059
extraversion,high,humans_vs_high,290,325,2.237506916700743e-43,-0.582684350132626
extraversion,high,humans_vs_low,290,325,0.039708090533572056,-0.06438196286472149
extraversion,high,high_vs_low,325,325,4.5722944217428676e-38,0.5331029585798817
extraversion,low,humans_vs_high,290,325,0.3770972187686966,-0.005750663129973475
extraversion,low,humans_vs_low,290,325,2.2556293415399793e-62,-0.666026525198939
extraversion,low,high_vs_low,325,325,1.845481589148385e-67,-0.663905325443787
agreeableness,high,humans_vs_high,290,325,0.34590460686968794,0.014472148541114059
agreeableness,high,humans_vs_low,290,325,0.029215399066357898,0.029729442970822282
agreeableness,high,high_vs_low,325,325,0.18970314942437627,0.015469822485207101
agreeableness,low,humans_vs_high,290,325,0.03393886187803348,0.013793103448275862
agreeableness,low,humans_vs_low,290,325,5.5207917552580745e-09,-0.13016445623342174
agreeableness,low,high_vs_low,325,325,1.2010671660699385e-12,-0.14461538461538462
neuroticism,high,humans_vs_high,290,325,2.9195979440695907e-102,-0.9525729442970823
neuroticism,high,humans_vs_low,290,325,1.0623561452748452e-12,-0.20814854111405837
neuroticism,high,high_vs_low,325,325,2.5563954050595656e-89,0.8829254437869822
neuroticism,low,humans_vs_high,290,325,2.2710098588410117e-19,-0.3141432360742706
neuroticism,low,humans_vs_low,290,325,8.007793267584806e-13,-0.2296976127320955
neuroticism,low,high_vs_low,325,325,0.4068548886215795,0.03182958579881657
